City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
548,Rock Sound,BS,76.39,scattered clouds,24.9,-76.2,Pink Corral Bay Property
549,Murray Bridge,AU,84.83,scattered clouds,-35.1167,139.2667,Balcony On Sixth Lodge
557,Miri,MY,80.74,light rain,4.4148,114.0089,"Mega Hotel, Miri"
558,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
562,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
567,Muriwai Beach,NZ,75.42,clear sky,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
572,Kerema,PG,86.47,broken clouds,-7.9631,145.7785,Frena Lodge
574,Gondanglegi,ID,83.05,overcast clouds,-7.7479,112.0132,Rumah Mujiatin
576,Arecibo,PR,75.2,clear sky,18.4724,-66.7157,Atlantic Sand Oasis
578,Kota Kinabalu,MY,84.18,heavy intensity rain,5.9749,116.0724,Gaya Centre Hotel
583,Wattegama,LK,81.43,scattered clouds,6.7989,81.4808,
591,Alofi,NU,84.09,clear sky,-19.0595,-169.9187,Taloa Heights
592,Charters Towers,AU,75.33,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
599,Benjamin Constant,BR,77.13,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
618,Auki,SB,76.71,overcast clouds,-8.7676,160.7034,Auki Motel
623,Acarau,BR,75.47,overcast clouds,-2.8856,-40.12,castelo pizzaria
628,Tabou,CI,78.24,broken clouds,4.423,-7.3528,hotêl doufoulougou
629,Meulaboh,ID,84.36,broken clouds,4.1363,96.1285,Kost Pria
636,Mae Hong Son,TH,75.34,few clouds,19.3003,97.9685,Baiyoke Chalet Hotel
642,Puerto Madryn,AR,81.23,clear sky,-42.7692,-65.0385,Hotel Tolosa
647,Sulangan,PH,82.06,scattered clouds,11.1373,123.7228,Maia's Beach Resort
656,Panama City,PA,76.42,clear sky,8.9936,-79.5197,Riande Urban Hotel
657,Dong Hoi,VN,76.26,few clouds,17.4833,106.6,Nam Long Hotel
