City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Richards Bay,ZA,-28.783,32.0377,76.42,84,53,14.36,broken clouds
116,Chambas,CU,22.1928,-78.9136,69.03,78,7,1.36,clear sky
117,Tautira,PF,-17.7333,-149.15,84.22,76,16,17.2,few clouds
118,Hashtrud,IR,37.4779,47.0508,9.16,96,58,2.13,broken clouds
119,Komsomolskiy,UZ,40.4272,71.7189,29.62,64,100,2.3,overcast clouds
120,Celestun,MX,20.8667,-90.4,74.16,74,88,11.65,overcast clouds
121,Tasiilaq,GL,65.6145,-37.6368,15.96,95,87,5.14,overcast clouds
122,Bubaque,GW,11.2833,-15.8333,77.13,69,19,12.71,few clouds
123,Victoria,HK,22.2855,114.1577,71.19,90,100,11.01,overcast clouds
124,Plastun,RU,44.7561,136.2939,18.79,47,64,11.1,broken clouds
125,Awbari,LY,26.5921,12.7805,40.35,49,4,6.89,clear sky
126,Yarada,IN,17.65,83.2667,73.26,66,11,12.55,few clouds
127,Port Macquarie,AU,-31.4333,152.9167,81.9,60,1,12.3,clear sky
128,Mayskiy,RU,47.6931,40.1025,15.21,99,96,1.7,overcast clouds
129,Bowen,AU,-20.0167,148.2333,83.41,69,100,18.21,overcast clouds
130,Hilo,US,19.7297,-155.09,73.26,88,20,5.01,few clouds
131,Castro,BR,-24.7911,-50.0119,65.46,99,100,5.61,overcast clouds
132,Quatre Cocos,MU,-20.2078,57.7625,81.09,66,0,9.73,clear sky
133,Badvel,IN,14.75,79.05,74.84,58,6,6.58,clear sky
134,Egvekinot,RU,66.3167,-179.1667,-4.94,93,99,3.38,overcast clouds
135,Norman Wells,CA,65.282,-126.8329,-3.42,99,100,3.83,light snow
136,Hambantota,LK,6.1241,81.1185,80.94,78,0,6.91,clear sky
137,Cururupu,BR,-1.8283,-44.8683,72.16,99,100,1.79,moderate rain
138,Cherskiy,RU,68.75,161.3,-34.13,98,27,2.51,scattered clouds
139,Krasnoselkup,RU,65.7,82.4667,0.18,91,100,17.78,overcast clouds
140,Kaitangata,NZ,-46.2817,169.8464,61.93,70,80,7.4,broken clouds
141,Torbay,CA,47.6666,-52.7314,15.76,89,87,8.81,overcast clouds
142,Tiksi,RU,71.6872,128.8694,-11.63,96,63,9.62,broken clouds
143,Avarua,CK,-21.2078,-159.775,82.45,83,40,17.27,scattered clouds
144,Turukhansk,RU,65.8167,87.9833,-0.9,90,100,14.94,overcast clouds
145,Rockland,US,41.1668,-74.0496,30.43,55,98,7.23,overcast clouds
146,Port Lincoln,AU,-34.7333,135.8667,72.52,70,67,14.41,broken clouds
147,Huilong,CN,31.8111,121.655,45.03,62,100,13.38,light rain
